Time,Region,PC,PCC,ECPC,AP,Temperature
2025,BEL,45.706585,71.61218,64.65417,94.29375,1.5 deg at 50% with small overshoot
2025,BEN,50.67673,20.364359,26.817408,23.90514,1.5 deg at 50% with small overshoot
2025,BFA,86.20056,20.847975,32.96758,15.8824835,1.5 deg at 50% with small overshoot
2025,BGD,664.5564,163.73134,180.33174,124.126495,1.5 deg at 50% with small overshoot
2025,BGR,27.458755,28.892115,24.865555,36.830345,1.5 deg at 50% with small overshoot
2025,BHR,6.004017,26.110178,26.465021,40.48922,1.5 deg at 50% with small overshoot
2025,BHS,1.6104093,1.5953381,1.5146198,2.4307973,1.5 deg at 50% with small overshoot
2025,BIH,13.06992,15.809707,14.970576,20.386679,1.5 deg at 50% with small overshoot
2025,BLR,37.948723,48.677723,44.150555,68.0657,1.5 deg at 50% with small overshoot
2025,BLZ,1.5748168,5.18958,5.109407,8.770251,1.5 deg at 50% with small overshoot
2025,BOL,47.453312,48.193817,43.141552,66.19821,1.5 deg at 50% with small overshoot
2025,BRA,843.5538,1089.4589,971.1137,1527.7815,1.5 deg at 50% with small overshoot
2025,BRB,1.1093423,0.8989886,0.7795319,1.3173431,1.5 deg at 50% with small overshoot
2025,BRN,1.7544566,8.338751,8.246433,12.536,1.5 deg at 50% with small overshoot
2025,BTN,3.0633035,1.6444781,1.1456498,2.237391,1.5 deg at 50% with small overshoot
2025,BWA,10.133455,10.409971,10.352046,14.80298,1.5 deg at 50% with small overshoot
2025,CAF,21.47771,7.156602,10.530148,7.4266086,1.5 deg at 50% with small overshoot
2025,CAN,149.83989,426.39896,390.0885,631.01306,1.5 deg at 50% with small overshoot
2025,CHE,34.185814,27.606869,25.640589,33.935436,1.5 deg at 50% with small overshoot
2025,CHL,76.15986,73.0362,71.34472,103.51991,1.5 deg at 50% with small overshoot
2025,CHN,5626.497,8444.805,8384.402,12834.568,1.5 deg at 50% with small overshoot
2025,CIV,107.17756,57.391365,61.688725,,1.5 deg at 50% with small overshoot
2025,CMR,105.99358,38.089863,49.42255,42.530903,1.5 deg at 50% with small overshoot
2025,COD,373.5584,414.1927,496.68866,653.0582,1.5 deg at 50% with small overshoot
2025,COG,22.817852,13.199868,14.908704,,1.5 deg at 50% with small overshoot
2025,COK,,,0.03187654,,1.5 deg at 50% with small overshoot
